Date,Awake,Light Sleep,Deep Sleep ,Rem,Sleep Quality ,Time Went Sleep,Time Woke Up,Time in Bed,Time asleep,Sleep Duration,Number of Dreams,Kind of Dreams
9/8/16,6,23,61,10,52,1:00AM,9:15AM,8h 17m,7h 30m,8h 15m,0,
9/9/16,4,26,51,19,56,1:30AM,10:00AM,8h 35m,7h 32m,8h 30m,3,Recurring Dreams (From Mermories)
9/10/16,19,25,38,18,50,1:13 AM,10:10AM,8h 56m,7h 23m,8h 54m,1,Lucid Dream
9/11/16,7,33,49,11,57,1:30 AM,9:15AM,7h 43m,7h 18m,7h 42m,1,Lucid Dream(Weird dream story)
9/12/16,5,24,66,5,58,1:46AM,9:24AM,7h 37m,7h 22m,7h 36m,0,
9/13/16,11,28,44,17,58,12:42AM,9:00AM,8h 25m,7h 37m,8h 24m,1,Unconscious Dream (Not remember the content in the dreamƒ).
9/14/16,17,21,59,3,33,12:56AM,8:00AM,7h,5h 55m,7h,0,
9/15/16,7,26,61,6,57,1:39AM,10:00AM,8h 22m,7h 59m,8h 20m,0,
9/16/16,17,25,21,37,50,1:16AM,9:00AM,7h 50m,6h 35m,7h 50m,4,Unconscious Dream (Not remember the content in the dreamƒ)
9/17/16,13,23,42,22,50,1:53AM,9:30AM,7h 37m,6h 47m,7h 30m,1,Unconscious Dream
9/18/16,5,19,49,27,60,2:00AM,7:00AM,5h 10m,5h,5h 5m,0,
9/19/16,6,23,46,25,65,1:00AM,8:04AM,7h 4m,6h 49m,7h,1,Unconscious Dream (Not remember the content in the dreamƒ)
9/20/16,7,23,55,15,62,1:30AM,9:40AM,8h 5m,7h 40m,8h,0,
9/21/16,8,26,57,9,53,1:00AM,8:00AM,7h 2m,6h 34m,7h,0,
9/22/16,15,21,48,16,57,2:30AM,7:00AM,4h 26m,3h 51m,4h 30m,1,Lucid Dream
9/23/16,11,23,57,9,48,1:00AM,7:24AM,6h 24m,5h 44m,6h 20m,0,
9/24/16,7,27,55,11,57,12:30AM,8:00AM,7h 20m,6h 58m,7h 15m,1,Conscious dream(Dream From Life/Movies/TV show).
9/25/16,4,29,67,0,53,2:30AM,7:30AM,5h 3m,4h 53m,5h,0,
9/26/16,6,26,43,25,63,1:11AM,8:00AM,6h 50m,6h 32m,6h 50m,1,Unconscious Dream (Not remember the content in the dreamƒ)
9/27/16,4,28,47,21,63,12:26AM,7:40AM,7h 13m,7h 3m,7h 10m,0,
9/28/16,8,22,57,13,53,1:00AM,7:50AM,6h 42m,6h 17m,6h 40m,1,Recurring Dreams (From Mermories)
9/29/16,18,20,59,3,37,1:54AM,8:41AM,6h 46m,5h 42m,6h 40m,0,
9/30/16,7,30,54,9,62,1:14AM,8:40AM,7h 25m,7h 5m,7h 20m,0,
10/1/16,7,30,54,9,62,2:30AM,9:30AM,6h 59m,6h 39m,7h,0,
10/2/16,16,29,41,14,55,2:00AM,7:00AM,5h,4h 30m,5h,0,
10/3/16,8,26,52,14,53,1:00AM,10:15AM,9h 17m,8h 47m,9h 10m,0,
